Date,Open,High,Low,Close,Adj Close,Volume
2017-04-26,111.061996,111.723999,111.042000,111.045998,111.045998,0
2017-04-27,111.175003,111.591003,111.052498,111.191002,111.191002,0
2017-04-28,111.214996,111.686996,111.080002,111.225998,111.225998,0
2017-05-01,111.303001,111.900002,111.303001,111.302002,111.302002,0
2017-05-02,111.820000,112.293999,111.820000,111.811996,111.811996,0
2017-05-03,111.973999,112.489998,111.972000,111.969002,111.969002,0
2017-05-04,112.799004,113.038002,112.664001,112.782997,112.782997,0
2017-05-05,112.530998,112.737999,112.095001,112.537003,112.537003,0
2017-05-08,112.692001,112.873001,112.403000,112.683998,112.683998,0
2017-05-09,113.209999,114.205002,113.140999,113.230003,113.230003,0
2017-05-10,113.689003,114.149002,113.647003,113.697998,113.697998,0
2017-05-11,114.303001,114.335999,113.480003,114.328003,114.328003,0
2017-05-12,113.814003,113.945999,113.212997,113.808998,113.808998,0
2017-05-15,113.264999,113.722000,113.255997,113.271004,113.271004,0
2017-05-16,113.648003,113.757004,112.981003,113.641998,113.641998,0
2017-05-17,112.718002,112.720001,111.238998,112.646004,112.646004,0
2017-05-18,111.114998,111.416000,110.226501,111.125999,111.125999,0
2017-05-19,111.421997,111.682999,111.069000,111.401001,111.401001,0
2017-05-22,111.267998,111.589996,110.960999,111.283997,111.283997,0
2017-05-23,110.948997,111.693001,110.910004,110.890999,110.890999,0
2017-05-24,111.935997,112.111000,111.707001,111.957001,111.957001,0
2017-05-25,111.519997,111.934998,111.519997,111.524002,111.524002,0
2017-05-26,111.716003,111.793999,110.887001,111.730003,111.730003,0
2017-05-29,111.266998,111.457001,111.209999,111.255997,111.255997,0
2017-05-30,111.189003,111.212997,110.665001,111.174004,111.174004,0
2017-05-31,110.875000,111.191002,110.496002,110.838997,110.838997,0
2017-06-01,110.768997,111.445999,110.768997,110.795998,110.795998,0
2017-06-02,111.459999,111.698997,110.342003,111.436996,111.436996,0
2017-06-05,110.484001,110.720001,110.345001,110.462997,110.462997,0
2017-06-06,110.379997,110.436996,109.241997,110.380997,110.380997,0
2017-06-07,109.495003,109.627998,109.127998,109.509003,109.509003,0
2017-06-08,109.917999,110.369003,109.410004,109.900002,109.900002,0
2017-06-09,109.912003,110.787003,109.912003,109.859001,109.859001,0
2017-06-12,110.307999,110.316002,109.676003,110.288002,110.288002,0
2017-06-13,109.916000,110.265999,109.916000,109.920998,109.920998,0
2017-06-14,110.044998,110.336998,108.944000,110.055000,110.055000,0
2017-06-15,109.399002,110.758003,109.399002,109.445999,109.445999,0
2017-06-16,111.046997,111.403999,110.661003,110.952003,110.952003,0
2017-06-19,110.977997,111.376999,110.908997,110.954002,110.954002,0
2017-06-20,111.738998,111.766998,111.327003,111.672997,111.672997,0
2017-06-21,111.343002,111.712997,111.065498,111.334000,111.334000,0
2017-06-22,111.334000,111.432999,110.956001,111.309998,111.309998,0
2017-06-23,111.309998,111.416000,111.157997,111.290001,111.290001,0
2017-06-26,111.254997,111.710999,111.222000,111.238998,111.238998,0
2017-06-27,111.903000,112.438004,111.468002,111.858002,111.858002,0
2017-06-28,112.174004,112.399002,111.862999,112.188004,112.188004,0
2017-06-29,112.366997,112.919998,112.153999,112.353996,112.353996,0
2017-06-30,111.972000,112.389000,111.749001,112.009003,112.009003,0
2017-07-03,112.242996,113.417000,112.204002,112.262001,112.262001,0
2017-07-04,113.369003,113.370003,112.778999,113.386002,113.386002,0
2017-07-05,112.964996,113.669998,112.833000,112.961998,112.961998,0
2017-07-06,113.223999,113.450996,112.896004,113.186996,113.186996,0
2017-07-07,113.165001,114.167999,113.165001,113.149002,113.149002,0
2017-07-10,113.943001,114.292999,113.926003,113.985001,113.985001,0
2017-07-11,null,null,null,null,null,null
2017-07-12,113.767998,113.792000,112.939499,113.748001,113.748001,0
2017-07-13,113.304001,113.514000,112.874001,113.334999,113.334999,0
2017-07-14,113.400002,113.566002,112.269997,113.417999,113.417999,0
2017-07-17,112.421997,112.848000,112.342003,112.397003,112.397003,0
2017-07-18,112.599998,112.616997,111.700996,112.581001,112.581001,0
2017-07-19,111.973999,112.217003,111.559998,111.995003,111.995003,0
2017-07-20,111.855003,112.406998,111.490997,111.876999,111.876999,0
2017-07-21,111.891998,112.063004,111.095001,111.885002,111.885002,0
2017-07-24,110.944000,111.155998,110.627998,110.945000,110.945000,0
2017-07-25,111.223999,111.662003,110.831001,111.232002,111.232002,0
2017-07-26,112.016998,112.142998,111.723999,112.002998,112.002998,0
2017-07-27,111.132004,111.657997,110.790001,111.127998,111.127998,0
2017-07-28,111.067001,111.278999,110.661499,111.097000,111.097000,0
2017-07-31,110.522003,110.752998,110.352997,110.510002,110.510002,0
2017-08-01,110.351997,110.555000,109.959000,110.359001,110.359001,0
2017-08-02,110.458000,110.959999,110.288002,110.431999,110.431999,0
2017-08-03,110.764000,110.807999,109.978996,110.757004,110.757004,0
2017-08-04,109.870003,111.019997,109.863998,109.900002,109.900002,0
2017-08-07,110.810997,110.903000,110.647003,110.786003,110.786003,0
2017-08-08,110.753998,110.820999,110.250999,110.750000,110.750000,0
2017-08-09,110.095001,110.140999,109.569000,110.101997,110.101997,0
2017-08-10,110.043999,110.163002,109.264999,110.049004,110.049004,0
2017-08-11,109.089996,109.378998,108.796997,109.106003,109.106003,0
2017-08-14,109.250000,109.785004,109.208000,109.230003,109.230003,0
2017-08-15,109.945000,110.839996,109.939003,109.931999,109.931999,0
2017-08-16,110.572998,110.941002,110.572998,110.596001,110.596001,0
2017-08-17,109.983002,110.311996,109.634003,109.999001,109.999001,0
2017-08-18,109.341003,109.517998,108.605003,109.328003,109.328003,0
2017-08-21,109.323997,109.363998,108.633003,109.320000,109.320000,0
2017-08-22,109.073997,109.529999,109.052002,108.944000,108.944000,0
2017-08-23,109.755997,109.806000,108.999001,109.731003,109.731003,0
2017-08-24,108.920998,109.453003,108.920998,108.910004,108.910004,0
2017-08-25,109.500000,109.796997,109.123001,109.514000,109.514000,0
2017-08-28,109.366997,109.391998,109.046997,109.346001,109.346001,0
2017-08-29,108.731003,109.059998,108.328003,108.737000,108.737000,0
2017-08-30,109.767998,110.412003,109.668999,109.790001,109.790001,0
2017-08-31,110.468002,110.644997,109.952003,110.459999,110.459999,0
2017-09-01,110.116997,110.369003,109.580002,110.128998,110.128998,0
2017-09-04,109.777000,109.907997,109.397003,109.794998,109.794998,0
2017-09-05,109.779999,109.779999,108.830002,109.809998,109.809998,0
2017-09-06,108.597000,109.096001,108.483002,108.601997,108.601997,0
